0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:50:54 +0800] "GET /DataStructureHelper/TreeServlet HTTP/1.1" 500 1608
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:50:56 +0800] "GET /DataStructureHelper/static/css/bootstrap.min.css.map HTTP/1.1" 404 1125
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:50:56 +0800] "GET /DataStructureHelper/static/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1142
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:51:00 +0800] "POST /TreeServlet HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:51:20 +0800] "GET /DataStructureHelper/index.html HTTP/1.1" 200 7163
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:51:20 +0800] "GET /DataStructureHelper/static/css/bootstrap.min.css.map HTTP/1.1" 404 1125
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:51:20 +0800] "GET /DataStructureHelper/static/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1142
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:51:26 +0800] "POST /DataStructureHelper/DataStructureHelper/TreeServlet HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:51:36 +0800] "GET /DataStructureHelper/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:51:36 +0800] "GET /DataStructureHelper/static/css/bootstrap.min.css.map HTTP/1.1" 404 1125
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:51:36 +0800] "GET /DataStructureHelper/static/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1142
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:51:39 +0800] "POST /DataStructureHelper/DataStructureHelper/TreeServlet HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:51:53 +0800] "GET /DataStructureHelper/index.html HTTP/1.1" 200 7144
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:51:54 +0800] "GET /DataStructureHelper/static/css/bootstrap.min.css.map HTTP/1.1" 404 1125
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:51:54 +0800] "GET /DataStructureHelper/static/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1142
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:51:58 +0800] "POST /TreeServlet HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:52:12 +0800] "GET /DataStructureHelper/index.html HTTP/1.1" 200 7143
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:52:12 +0800] "GET /DataStructureHelper/static/css/bootstrap.min.css.map HTTP/1.1" 404 1125
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:52:12 +0800] "GET /DataStructureHelper/static/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1142
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:52:15 +0800] "POST /DataStructureHelper/TreeServlet HTTP/1.1" 500 1558
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:53:15 +0800] "GET /DataStructureHelper/index.html HTTP/1.1" 200 7148
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:53:15 +0800] "GET /DataStructureHelper/static/css/bootstrap.min.css.map HTTP/1.1" 404 1125
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:53:15 +0800] "GET /DataStructureHelper/static/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1142
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:53:21 +0800] "POST /TreeServlet HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:53:35 +0800] "GET /DataStructureHelper/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:53:35 +0800] "GET /DataStructureHelper/static/css/bootstrap.min.css.map HTTP/1.1" 404 1125
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:53:35 +0800] "GET /DataStructureHelper/static/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1142
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:53:36 +0800] "POST /TreeServlet HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:53:53 +0800] "GET /DataStructureHelper/index.html HTTP/1.1" 200 7147
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:53:53 +0800] "GET /DataStructureHelper/static/css/bootstrap.min.css.map HTTP/1.1" 404 1125
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:53:53 +0800] "GET /DataStructureHelper/static/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1142
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:53:54 +0800] "POST /DataStructureHelper/TreeServlet HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:54:35 +0800] "GET /DataStructureHelper/index.html HTTP/1.1" 200 7084
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:54:36 +0800] "GET /DataStructureHelper/static/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1142
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:54:36 +0800] "GET /DataStructureHelper/static/css/bootstrap.min.css.map HTTP/1.1" 404 1125
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:54:38 +0800] "POST /DataStructureHelper/TreeServlet HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:55:35 +0800] "GET /DataStructureHelper/index.html HTTP/1.1" 200 7854
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:55:35 +0800] "GET /DataStructureHelper/static/css/bootstrap.min.css.map HTTP/1.1" 404 1125
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:55:35 +0800] "GET /DataStructureHelper/static/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1142
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:55:39 +0800] "POST /DataStructureHelper/TreeServlet HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:55:41 +0800] "POST /DataStructureHelper/TreeServlet HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:55:42 +0800] "POST /DataStructureHelper/TreeServlet HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:55:52 +0800] "POST /DataStructureHelper/TreeServlet HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:55:54 +0800] "POST /DataStructureHelper/TreeServlet HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:55:55 +0800] "POST /DataStructureHelper/TreeServlet HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:56:03 +0800] "POST /DataStructureHelper/TreeServlet HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:56:05 +0800] "POST /DataStructureHelper/TreeServlet HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:56:06 +0800] "POST /DataStructureHelper/TreeServlet HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:56:35 +0800] "POST /DataStructureHelper/TreeServlet HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:56:36 +0800] "POST /DataStructureHelper/TreeServlet HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:56:37 +0800] "POST /DataStructureHelper/TreeServlet HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:56:53 +0800] "POST /DataStructureHelper/TreeServlet HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:56:57 +0800] "POST /DataStructureHelper/TreeServlet HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:56:58 +0800] "POST /DataStructureHelper/TreeServlet HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:57:03 +0800] "POST /DataStructureHelper/TreeServlet HTTP/1.1" 500 1595
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:57:06 +0800] "POST /DataStructureHelper/TreeServlet HTTP/1.1" 500 1595
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:57:08 +0800] "POST /DataStructureHelper/TreeServlet HTTP/1.1" 500 1595
