127.0.0.1 - - [10/Nov/2017:00:54:13 +0800] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [10/Nov/2017:00:54:15 +0800] "GET /DataStructureHelper/index.html HTTP/1.1" 200 10953
0:0:0:0:0:0:0:1 - - [10/Nov/2017:00:54:15 +0800] "GET /DataStructureHelper/static/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:00:54:15 +0800] "GET /DataStructureHelper/static/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:00:54:15 +0800] "GET /DataStructureHelper/static/fonts/fontawesome-webfont.eot? HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [10/Nov/2017:00:54:15 +0800] "GET /DataStructureHelper/static/fonts/fontawesome-webfont.woff?v=4.6.3 HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [10/Nov/2017:00:54:16 +0800] "GET /DataStructureHelper/static/fonts/fontawesome-webfont.ttf?v=4.6.3 HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [10/Nov/2017:00:54:23 +0800] "GET /DataStructureHelper/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:00:54:24 +0800] "GET /DataStructureHelper/static/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:00:54:24 +0800] "GET /DataStructureHelper/static/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:00:54:41 +0800] "POST /DataStructureHelper/TreeServlet HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [10/Nov/2017:00:54:42 +0800] "POST /DataStructureHelper/TreeServlet HTTP/1.1" 500 1704
0:0:0:0:0:0:0:1 - - [10/Nov/2017:00:54:45 +0800] "POST /DataStructureHelper/TreeServlet HTTP/1.1" 500 1704
0:0:0:0:0:0:0:1 - - [10/Nov/2017:00:54:48 +0800] "POST /DataStructureHelper/TreeServlet HTTP/1.1" 500 1704
0:0:0:0:0:0:0:1 - - [10/Nov/2017:00:54:52 +0800] "GET /DataStructureHelper/static/css/bootstrap.min.css.map HTTP/1.1" 404 1125
0:0:0:0:0:0:0:1 - - [10/Nov/2017:00:54:52 +0800] "GET /DataStructureHelper/static/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1142
0:0:0:0:0:0:0:1 - - [10/Nov/2017:00:55:02 +0800] "POST /DataStructureHelper/TreeServlet HTTP/1.1" 500 1704
0:0:0:0:0:0:0:1 - - [10/Nov/2017:00:55:39 +0800] "GET /DataStructureHelper/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:00:55:39 +0800] "GET /DataStructureHelper/static/css/bootstrap.min.css.map HTTP/1.1" 404 1125
0:0:0:0:0:0:0:1 - - [10/Nov/2017:00:55:39 +0800] "GET /DataStructureHelper/static/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1142
0:0:0:0:0:0:0:1 - - [10/Nov/2017:00:55:46 +0800] "POST /DataStructureHelper/TreeServlet HTTP/1.1" 500 1704
0:0:0:0:0:0:0:1 - - [10/Nov/2017:00:57:19 +0800] "GET /DataStructureHelper/index.html HTTP/1.1" 200 10962
0:0:0:0:0:0:0:1 - - [10/Nov/2017:00:57:19 +0800] "GET /DataStructureHelper/static/css/bootstrap.min.css.map HTTP/1.1" 404 1125
0:0:0:0:0:0:0:1 - - [10/Nov/2017:00:57:19 +0800] "GET /DataStructureHelper/static/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1142
0:0:0:0:0:0:0:1 - - [10/Nov/2017:00:57:37 +0800] "POST /DataStructureHelper/TreeServlet HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [10/Nov/2017:00:58:19 +0800] "POST /DataStructureHelper/TreeServlet HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [10/Nov/2017:00:58:31 +0800] "POST /DataStructureHelper/TreeServlet HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [10/Nov/2017:00:59:46 +0800] "GET /DataStructureHelper/index.html HTTP/1.1" 200 11007
